model,cases,top1_accuracy,mean_reciprocal_rank,mean_best_expected_rank,mean_expected_margin,mean_latency_ms,p95_case_latency_ms,first_case_latency_ms,model_load_seconds,embedding_dimension,max_sequence_length,parameter_count,failed_cases,decision_score
MPNet,13,0.8461538461538461,0.9230769230769231,1.1538461538461537,0.06742567740953885,63.7373281690648,198.14574483053335,241.48865699974593,15.174121332998766,768,384,109486464,0,107.72919118471243
BGE,13,0.7692307692307693,0.8717948717948718,1.3076923076923077,0.028760639520791862,32.726153138383566,77.09758012295843,90.46427876917453,11.531964709000022,768,512,109482240,0,98.6782935817728
MiniLM,13,0.46153846153846156,0.7051282051282051,1.6923076923076923,0.021089590512789212,89.50093143069422,322.821143661545,399.0209936924097,6.232693125000878,384,256,22713216,0,63.09793787287224
